,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
1.65,24,38,45,51,54,51,39,35,45,32,36,37,34,16,31,34,8,38,15,21,40,32,32,18,29,32,36,54,35,47,5,25,24,61,19,50,46,56,30,19,42,44,22,36,20,22,38,33,22,23,54,34,16,46,52,12,15,20,48,31,48,34,41,33,45,36,39,37,20,21,26,32,35,28,31,13,33,50,35,28,53,22,22,14,37,19,29,40,26,49,57,58,36,26,55,66,37,56,44,13,34.28
1.7,32,61,20,57,37,23,42,52,45,8,28,45,28,21,39,51,9,22,36,33,7,39,34,26,35,31,37,14,44,62,17,32,28,20,34,56,43,53,43,25,34,39,31,38,40,28,34,43,23,33,55,44,22,18,52,26,24,41,59,30,45,44,23,28,14,48,30,42,31,37,48,42,34,28,47,31,39,18,48,31,61,26,40,18,49,32,30,53,37,39,42,19,23,35,63,35,27,13,48,24,35.05
1.75,17,12,5,12,32,24,36,27,69,27,36,39,28,23,21,50,12,30,34,24,18,14,53,25,42,48,15,29,49,28,29,47,36,33,43,32,38,15,46,36,59,39,35,48,52,42,40,48,33,36,13,30,30,34,49,23,34,55,15,41,26,53,34,41,33,39,38,50,37,32,45,33,32,40,16,24,47,30,15,51,89,28,29,24,48,40,13,23,28,45,53,25,27,16,38,22,36,30,25,31,33.76
1.8,24,21,24,25,52,31,49,28,18,17,30,19,45,27,20,12,21,31,44,31,30,17,58,38,27,40,12,30,46,28,28,59,22,32,5,26,38,31,59,40,33,10,8,49,39,34,6,54,39,36,29,45,30,46,21,32,47,26,30,16,33,32,53,60,32,50,17,45,19,29,53,13,48,37,24,38,23,50,25,43,14,42,51,28,37,34,21,36,44,51,14,36,30,39,20,33,20,33,34,44,32.5
1.85,26,26,30,39,58,36,15,41,22,14,13,36,55,35,32,24,33,39,39,27,26,17,43,43,54,56,26,44,48,5,32,73,27,36,16,40,43,44,34,54,51,24,25,76,13,40,29,27,61,18,33,33,36,52,41,11,60,28,36,35,40,36,44,28,44,13,23,46,34,35,25,26,9,43,35,21,34,46,25,57,27,42,49,33,39,24,30,30,21,17,31,37,21,44,16,43,39,41,41,45,34.64
1.9,33,34,38,35,57,46,22,22,26,35,20,33,60,33,39,26,37,48,41,43,39,25,10,20,23,22,35,44,60,32,40,45,24,45,21,44,47,53,39,40,38,23,34,32,14,21,25,27,24,25,37,8,16,47,47,27,60,39,35,43,42,17,54,33,38,28,28,39,37,27,41,31,23,13,49,25,43,47,43,26,27,41,53,46,17,34,46,38,29,40,42,47,28,62,28,45,41,51,16,64,35.37
1.95,33,33,41,32,66,31,23,33,34,42,21,41,16,34,39,40,42,33,16,42,45,30,23,23,23,38,42,51,35,38,6,23,33,43,35,45,13,44,48,17,32,35,41,43,18,21,41,29,36,35,37,20,18,29,30,26,9,13,53,37,44,34,24,41,44,38,46,45,59,47,21,41,45,25,49,14,49,59,48,34,34,33,16,27,17,18,45,39,17,19,39,19,42,65,48,62,38,59,35,23,34.52
2,41,13,54,43,39,31,48,35,22,45,27,41,42,31,22,20,28,18,22,33,9,42,40,25,32,25,28,36,36,35,6,31,40,15,34,69,26,63,46,31,43,40,41,34,22,46,38,35,40,48,58,25,25,34,32,32,31,40,51,43,26,27,27,24,19,49,35,45,13,35,29,42,39,22,39,8,41,26,60,53,37,58,40,33,29,28,56,42,42,34,61,19,38,43,41,39,13,13,44,30,34.81
2.05,13,19,9,8,39,29,39,54,31,27,39,25,36,8,39,24,9,24,34,44,18,34,31,39,39,35,24,8,21,56,9,45,23,34,39,17,36,24,48,41,44,48,62,35,27,28,59,42,18,37,22,48,29,42,39,22,34,39,21,40,32,41,34,26,41,54,46,17,30,43,35,52,48,36,34,14,43,28,15,41,44,33,41,15,39,30,13,21,20,42,38,24,38,15,44,30,29,20,32,28,32.13
2.1,32,24,16,18,40,33,48,21,27,42,56,26,55,22,23,8,20,30,36,51,23,32,50,38,33,40,14,20,29,61,16,41,25,40,5,22,45,37,10,51,61,28,10,40,38,34,17,56,22,43,33,56,18,55,26,44,48,52,13,19,39,24,44,26,40,49,21,40,32,15,39,30,52,63,30,20,23,44,25,62,18,48,58,32,35,36,19,29,40,38,19,34,24,27,14,52,36,18,32,45,33.45
2.15,40,36,33,20,47,50,31,35,27,36,41,37,57,20,38,21,24,51,45,29,25,34,42,42,29,60,16,21,41,23,22,48,14,52,10,29,50,52,17,54,34,23,12,41,27,26,26,14,33,14,10,61,30,53,52,11,48,57,27,12,51,28,52,18,61,17,31,35,42,9,40,35,18,56,37,25,35,54,38,23,29,34,54,37,29,15,28,29,41,44,21,42,27,27,31,52,44,28,53,55,34.35
2.2,55,44,38,29,18,20,47,32,37,36,24,49,58,25,44,22,41,47,48,34,30,47,23,20,16,27,32,39,50,33,37,26,23,42,9,38,55,50,26,46,57,36,20,35,33,41,10,29,34,29,14,43,37,52,55,24,57,63,21,18,45,20,60,0,48,37,32,58,42,37,17,43,29,15,40,36,35,47,51,31,38,40,55,48,48,20,48,45,42,48,34,36,41,36,36,63,53,30,22,55,36.86
2.25,56,56,44,30,27,25,28,50,15,39,20,54,35,40,49,41,36,23,17,12,34,31,36,34,28,25,36,34,18,25,35,24,28,54,18,42,12,31,27,22,19,41,29,31,39,36,13,32,48,29,0,12,27,16,44,28,13,14,26,13,40,27,38,0,36,31,30,57,45,31,35,57,41,27,57,13,48,28,62,48,45,46,15,56,23,28,38,36,37,13,47,13,29,39,49,62,57,42,39,45,33.11
2.3,72,0,46,35,41,32,30,31,30,18,11,67,38,40,28,30,35,22,42,10,5,21,39,38,27,20,30,41,34,17,20,19,18,17,24,52,2,43,33,39,23,38,31,1,22,39,27,41,20,45,0,13,39,19,3,32,24,32,21,22,12,43,10,0,25,25,10,68,17,46,27,34,46,36,16,23,48,42,60,37,50,35,12,42,35,39,41,38,42,21,57,24,28,47,49,26,0,8,10,30,29.48
2.35,1,0,21,11,56,38,5,44,18,18,19,14,41,0,41,34,13,25,41,24,10,4,23,36,35,21,15,4,38,32,12,25,29,22,39,15,0,24,40,40,35,15,41,13,14,48,22,54,0,40,0,27,34,30,3,37,16,31,30,25,28,41,20,0,33,27,16,14,24,20,34,13,45,32,19,28,29,39,15,23,30,0,13,15,35,36,7,10,33,32,19,20,13,19,59,29,0,19,17,13,23.62
2.4,7,0,27,0,44,0,9,0,23,27,0,14,14,0,25,0,22,21,36,27,21,6,32,30,3,23,0,10,24,0,8,32,21,29,25,13,0,10,0,41,39,5,0,28,17,19,38,67,0,37,0,33,3,31,5,38,30,36,27,36,20,38,28,0,24,30,28,21,20,27,35,22,32,52,6,35,33,17,18,26,7,0,18,13,45,20,12,21,35,40,32,26,9,18,20,35,0,18,32,19,20.45
