,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average,
1,7,7,13,12,10,3,8,8,14,8,9,14,10,11,7,8,10,15,8,9,5,13,14,11,17,15,6,8,6,8,8,13,12,5,5,12,9,12,12,15,7,13,13,14,5,10,7,10,11,8,7,11,8,8,7,9,4,8,4,4,3,13,5,3,7,8,9,4,3,9,10,5,8,10,6,7,7,10,6,3,7,10,10,7,5,6,9,11,10,8,11,6,11,15,12,11,9,7,16,5,8.87,
1.05,6,7,12,12,7,6,6,9,17,4,8,12,12,9,8,10,9,14,8,9,4,11,11,11,16,15,4,9,5,7,7,11,10,14,6,10,10,12,10,11,2,10,14,12,7,10,5,10,10,8,6,10,7,6,7,7,4,10,6,3,5,11,4,4,9,6,8,6,1,4,11,7,9,13,4,9,12,7,6,7,5,8,9,8,3,3,11,7,9,12,10,5,10,11,12,9,6,7,12,5,8.38,
1.1,6,8,11,11,4,11,6,10,14,3,7,9,11,8,6,12,10,9,9,7,9,11,8,7,16,10,2,10,7,8,4,10,7,16,5,11,10,11,9,11,1,9,12,7,11,8,6,10,10,9,8,6,7,4,11,6,6,10,7,2,9,8,8,5,8,6,10,7,5,5,11,6,12,12,4,9,14,5,4,7,6,9,6,9,3,3,8,6,5,14,10,6,9,9,9,6,8,7,9,7,8.08,
1.15,7,6,12,9,8,10,11,9,13,8,5,6,12,6,4,10,9,10,5,8,12,14,8,7,11,9,5,9,13,12,7,8,4,14,8,6,9,15,6,13,2,11,11,9,11,5,11,14,7,10,10,8,8,6,10,6,8,14,10,2,9,7,10,4,9,7,11,9,10,7,7,6,12,11,8,5,14,6,5,9,5,8,6,9,11,4,8,5,6,12,12,8,9,9,10,6,7,10,8,8,8.58,
1.2,8,5,11,8,11,10,9,14,12,10,7,7,12,6,4,10,9,10,7,9,10,13,13,10,10,9,6,8,12,13,8,11,8,10,11,9,9,9,6,11,7,9,10,10,10,6,11,12,6,13,11,13,11,7,8,5,11,12,11,3,10,8,11,4,7,13,11,7,12,10,7,6,13,11,12,5,11,7,3,8,6,8,8,12,11,7,7,9,9,11,14,9,9,12,9,9,8,9,6,7,9.17,
1.25,9,6,11,12,16,8,8,12,16,14,9,10,9,8,7,10,10,9,13,11,6,14,13,11,13,12,9,8,14,10,9,13,11,8,11,11,10,12,9,13,9,12,14,11,9,8,7,10,5,14,12,14,12,7,8,8,11,14,10,7,12,8,9,3,8,17,13,8,10,10,5,6,15,11,11,8,8,5,7,9,7,11,11,14,13,9,5,12,9,10,11,7,9,10,8,7,10,13,5,5,9.96,
1.3,8,9,12,14,15,8,8,10,16,10,13,12,11,10,9,10,12,11,12,11,7,9,13,13,19,12,6,7,8,8,9,11,11,7,9,13,8,8,8,14,7,13,14,9,10,9,5,11,9,13,13,18,9,7,9,11,7,14,9,7,11,9,9,4,11,16,12,11,5,10,6,5,13,11,12,11,9,6,8,11,6,12,11,13,9,10,4,13,10,11,12,5,11,11,7,2,9,14,9,4,9.98,
1.35,9,11,10,12,11,9,7,8,14,10,10,14,13,9,10,10,11,11,12,11,5,8,9,12,19,15,4,6,7,9,7,10,10,8,7,13,9,8,12,12,6,10,14,8,5,7,6,10,12,10,12,13,9,8,7,11,8,13,8,7,11,12,6,6,11,12,10,14,6,10,6,2,13,11,11,12,8,11,7,12,7,15,7,6,7,7,6,9,9,11,8,7,12,10,5,4,6,13,10,5,9.41,
1.4,8,6,10,12,6,9,6,8,11,6,9,15,13,6,6,6,11,14,9,10,5,9,10,8,17,16,3,7,5,7,8,7,12,9,10,12,10,7,9,11,8,7,14,9,5,8,9,8,9,9,12,13,9,8,9,11,8,11,9,6,15,9,8,7,10,12,10,15,11,9,11,2,11,8,7,12,8,10,7,14,7,11,8,4,7,4,8,6,7,10,6,8,9,5,6,4,9,10,8,7,8.85,
1.45,8,6,16,11,4,10,7,10,10,8,9,10,7,4,4,6,9,13,9,6,7,9,9,7,13,16,7,10,6,11,11,10,5,11,11,12,8,6,10,10,11,4,12,7,10,6,14,10,8,10,16,12,15,7,6,8,7,10,14,4,18,8,9,15,11,17,10,14,15,12,14,5,8,10,7,11,8,10,3,14,3,12,11,8,6,7,13,4,7,8,9,7,13,5,5,6,8,9,7,11,9.25,
